machine_record_index,Volume,Closing Price,SMA,EMA,MACD,Trend
0,202,67.29798894600543,56.01349649377321,67.29798894600543,7.102669426592705,0
1,535,59.93340476880031,56.01349649377321,64.84312755360372,4.647808034190994,0
2,960,18.190188194619726,56.01349649377321,49.29214776727572,-10.903171752137006,1
3,370,75.37573293852054,56.01349649377321,57.98667615769067,-2.2086433617220607,0
4,206,59.27016762092004,56.01349649377321,58.41450664543379,-1.7808128739789382,0
5,171,50.5819402674494,52.670286758062005,55.80365118610567,-4.391668333307059,1
6,800,91.94241505629458,59.07208881556086,67.84990580950198,7.654586290089249,0
7,120,36.816350638775546,62.797321304392014,57.50538741925984,-2.6899321001528875,1
8,714,57.12420484135101,59.14701568495811,57.3783265599569,-2.816992959455824,1
9,221,72.7877684344117,61.850535847656445,62.51480718477518,2.319487665362452,1
10,566,81.68245981064895,68.07063975629636,68.9040247267331,8.70870520732037,0
11,314,51.34121271515552,59.950399288068546,63.04975405620725,2.854434536794521,1
12,430,85.78822735168387,69.74477463065021,70.62924515469946,8.893072434813533,0
13,558,79.20259671838578,74.16045300605717,73.48702900926158,10.145090293576864,0
14,187,15.961238006667926,62.79514692050841,54.311765341730364,-8.844427524958377,0
15,472,14.127513976416965,49.28415775366201,40.9170148866259,-17.135159733220874,1
16,199,65.87251159798822,52.190417530228544,49.23551379041334,-9.366856160855775,0
17,971,41.26720674028728,43.286213407949234,46.579411440371324,-11.246730716967619,0
18,763,28.821771197066276,33.210048303685326,40.66019802593631,-11.905890476466944,1
19,230,62.16849410245646,42.45149952284304,47.829630051443026,-6.849137072933637,0
20,761,40.740688941089054,47.774134515777455,45.46664968132504,-7.846824451363126,1
21,408,58.3537075042663,46.27037369703307,49.76233562230546,-2.348300099537262,0
22,869,51.41072430852148,48.29907721067991,50.311798517710805,0.7238074210453789,1
23,443,62.62894953542383,55.060512878351425,54.41751552361515,3.8888796919273645,0
24,591,46.027044001925326,51.8322228582452,51.620691683051874,4.405487797177294,1
25,513,72.79008163272385,58.24210139657216,58.6771549996092,11.996327370873125,0
26,905,26.206054511436868,51.81257079800628,47.85345483688509,0.31889249941826137,1
27,485,72.6851319604371,56.06745232838939,56.13068054473577,3.716316708600594,0
28,291,47.04950929217753,52.95156427974014,53.1036234605497,2.257843149898754,1
29,376,88.68858443689754,61.48387236673458,64.96527711933231,10.167715333963848,0
30,260,56.371244937778975,58.2001050277456,62.1005997254812,5.0072484617200175,1
31,559,97.57993143430939,72.4748804123201,73.92704362842393,13.882739253674991,0
32,413,64.17418559868642,70.77269113996996,70.67609095184477,8.678995188962716,0
33,121,30.146415931568853,67.39207246784824,57.16619927841947,-2.48028885340446,1
34,352,83.96115731600042,66.44658704366881,66.09785195761313,3.7388277418326297,0
35,847,41.0574365040148,63.383825356915985,57.7510468064137,-2.8103513234160644,1
36,956,41.285729303441514,52.1249849307424,52.26260763875631,-7.903680932866465,0
37,660,12.862421333664862,41.86263207773809,39.12921220372583,-16.043104676308694,1
38,574,59.38437782866678,47.71022445715768,45.88093407870615,-12.056243077764194,0
39,158,58.09811533592707,42.537616061143,49.95332783111313,-6.768264606648053,0
40,610,42.03923358447875,42.733975477235795,47.31529641556834,-8.98877304655128,1
41,781,90.47955366063331,52.57274034867415,61.70338216392334,5.250065266492406,0
42,575,21.587355846967952,54.31772725133477,48.331373391604885,-5.223286081591802,1
43,799,39.70895619791399,50.382642925184214,45.457234327041256,-3.2748438764558045,0
44,882,38.94244882120261,46.55150962223932,43.28563915842838,-3.3437943136116886,0
45,289,18.306152760587146,41.804893457461006,34.959143692481305,-10.683601181976961,1
46,786,53.30308546506639,34.369599818347616,41.073790950009666,-2.014114603537429,1
47,662,71.90062453864746,44.43225355668352,51.34940214622227,5.691230923122447,0
48,975,56.04913121925351,47.70028856095142,52.91597850389935,6.027523787815191,0
49,666,24.127991444457436,44.73739708560239,43.31998281741872,-4.50726940789815,1
50,343,43.955736871786534,49.86731390784227,43.53190083554133,-3.009631310035516,0
51,931,10.23355219452819,41.25340725373463,32.43245128853695,-10.12036726192332,1
52,604,88.14709963320281,44.5027022726457,51.00400073675891,4.608860015571629,0
53,230,17.606530691261373,36.81418216704727,39.87151072159307,-0.4508780854798786,1
54,584,63.75502740298875,44.73958935875353,47.832682948724965,3.9963215119836093,1
55,918,98.76312962801336,55.701067909998905,64.80949850848776,16.05195595257146,0
56,746,58.29315813885993,65.31298909886524,62.63738505194516,12.26728338622408,1
57,120,93.16375831966899,66.31632083615848,72.81284280785312,16.204607345541888,0
58,940,31.25048798056639,69.04511229401949,58.958724532090876,4.188205526821314,1
59,266,78.3959868043827,71.97330417429826,65.43781195618816,10.126012762107322,0
60,373,57.813917857618065,63.783461820219216,62.89651392333147,7.437649176053583,1
61,487,74.84644552523184,67.0941192974936,66.87982445729827,7.194421869955853,0
62,700,15.61072262601173,51.58351215876214,49.79012384686943,-7.533194219991756,1
63,415,23.2965182715604,49.992718216960945,40.95892198843309,-17.45297658484744,0
64,113,21.980523572873043,38.709625570659014,34.63278918324641,-18.265228051673304,1
65,341,71.8448954862998,41.51582109639537,47.036824617597546,-10.381056350242034,1
66,876,85.99966053702659,43.746464098754316,60.024436590740564,0.7528361950644893,0
67,445,77.46546088077287,56.117411749706534,65.83811135408467,8.341316687345312,0
68,664,12.742493746023474,54.00660684459916,48.13957215139761,-5.561333815938717,1
